Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0000857","1","MARIKA (IMO 7314101)","MARIKA: Unknown/unspecified","LBR","1994-01-01 00:00","Very serious","465230N 0333100W","North Atlantic Ocean","1","1","Sinking","The ore carrier Marika, loaded with 139,913 tons of pelletized iron ore out of Seven Islands, Quebec, Canada, Gulf of St.Lawrence, bound for The Netherlands, sank at about 14:00 hrs Saturday 1 January 1994, in position Latitude 46 degrees 52.3 minutes North, Longitude 33 degrees 31.0 minutes West. The crew of 36 is assumed to have perished.","Other Ships Structures","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2011-12-05","2005-05-23"
"C0000856","1","ARCTIC REEFER (IMO 7120809)","ARCTIC REEFER: Unknown/unspecified","CYP","1994-01-01 00:00","Unspecified"," ","","0","1","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000853","1","ARCTIC REEFER (-)","ARCTIC REEFER: Unknown/unspecified","PAN","1993-12-31 00:00","Unspecified"," ","","0","0","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007235","1","UNION ROTORUA (-)","UNION ROTORUA: Unknown/unspecified","NZL","1993-12-29 17:30","Serious"," ","Off de New South Wales coast","1","0","Fire or explosion","The New Zealand registered roll on/roll off, gas turbine/electric ship Union Rotorua was about 27 miles south of Sydney Heads, en route for Melbourne, when a fire broke out in the gas turbine house. 

It was established that the seat of the fire was in one of the cubicles of the 6.6 kilovolt switchboard, which distributed power from the gas turbine generator to the propulsion motors and auxiliary electrical systems. 

Initial attempts to fight the fire with extinguishers proved to be ineffective and a decision was made to utilise the fixed fire fighting medium and flood the space with CO2. 

This was effective in extinguishing the fire. With the high voltage switchboard out of commission, the ship was towed to Sydney, where it remained for three months undergoing repairs. 
","Ro-Ro Ship","Ship rendered unfit to proceed","22.357","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-04-07",""
"C0007305","1","SHELF SUPPORTER (IMO 8405440)","SHELF SUPPORTER: Unknown/unspecified","AUS","1993-12-29 06:40","Very serious"," ","North-West Coast of Australia","1","0","Fatality aboard","Early on the morning of 29 December 1993, the Australian offshore supply ship Shelf Supporter was discharging a deck cargo of empty skips and a container to North Rankin A platform, 70 miles north-west of Dampier. The weather was fine with the wind from the south-west at 20 knots. 
The Master was manoeuvring the ship, maintaining position, from the after end of the bridge, looking out over the cargo deck. 
Seas were breaking over the stern, but conditions were not such as to cause the cancellation of cargo operations. 
While a skip was being hoisted to the platform the two-man deck watch aboard Shelf Supporter decided to re-spool a wire used to secure the cargo, onto the winch. While this wire was being released from a block, a sea broke over the stern. Despite a warning from the Master, one of the two men on deck was crushed between the ships's own rubbish skip and an empty skip when it was moved by the seawater.
","Supply ship/dive support","Loss of life","1595","DNV AS (DNV)","","","11","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-05-19",""
"C0000852","1","KIOWA (IMO 5413886)","KIOWA: Unknown/unspecified","PHL","1993-12-27 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000837","1","HORNG QUN (-)","HORNG QUN: Unknown/unspecified","PAN","1993-12-26 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000836","1","CAROL R (-)","CAROL R: Unknown/unspecified","HND","1993-12-19 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000835","1","SEYED JAMAL AL  DIN (-)","SEYED JAMAL AL  DIN: Unknown/unspecified","IRN","1993-12-18 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000832","1","HUA HAI 1 (-)","HUA HAI 1: Unknown/unspecified","CHN","1993-12-17 00:00","Unspecified"," ","","0","0","","","Chemical Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000831","1","LILYMOO (-)","LILYMOO: Unknown/unspecified","MDV","1993-12-17 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007448","1","DAKSHINESHWAR (IMO 8409771)","DAKSHINESHWAR: Unknown/unspecified","IND","1993-12-12 21:20","Serious","103040S 1421790E","Off Wednesday Island, in the Torres strait","1","0","Stranding / grounding","On 12 July 1997, the Indian flag bulk carrier Dakshineshwar was on a loaded, northbound passage through the inner route of the Great Barrier Reef, from Hay Point to the east coast of India with a cargo of coal. A licensed Reef Pilot was in charge of the navigation. 
At about 21:00 hours, the ship passed between Alert Patches and OG Rock at the eastern end of the Prince of Wales Channel, Torres Strait, and settled on a course of about 270. The ship's speed over the previous hour had been 12 knots. 
At about 21:11 hours, the ship was abeam of Ince Point and the Pilot saw that the Global Positioning System display showed a speed of 10.5 knots. About three minutes later the Pilot, who had moved to the port bridge wing, heard an alarm or some alerting device ringing on the bridge and he went to investigate. As he got close to the centre line he glanced at the helm indicator and engine room tachometer. The helm indicator showed that full starboard rudder had been applied and the tachometer showed zero revolutions. The ship's head had been paying off to port and the rate of turn increased rapidly as the ship closed with Wednesday Island to the western side of Ince Point. 
The ship's speed had slowed to about 6.5 knots when the engine was restarted. The Pilot had to make a quick decision and decided to maintain full starboard rudder and ordered emergency full ahead revolutions to maximise the rate of turn to starboard. The ship reached a heading of 172, before starting to turn to starboard. At about 21:20 hours, Dakshineshwar grounded in position 10 30.4° South 142 17.9° East, with Ince Point Light bearing 100 x 0.85 of a mile. 

","BULK CARRIER","Ship rendered unfit to proceed","28739","Bureau Veritas (BV)","47277","","51","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-09-23",""
"C0000830","1","AQUILA (-)","AQUILA: Unknown/unspecified","CYP","1993-12-12 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000829","1","SOUTHERN GLORY (-)","SOUTHERN GLORY: Unknown/unspecified","MYS","1993-12-10 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000828","1","GRAPE ONE (-)","GRAPE ONE: Unknown/unspecified","MLT","1993-12-09 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000827","1","PINGUIN (-)","PINGUIN: Unknown/unspecified","DEU","1993-12-05 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000826","2","BONITA (-), SEAL ISLAND (-)","BONITA: Unknown/unspecified, SEAL ISLAND: Unknown/unspecified","ECU","1993-12-03 00:00","Unspecified"," ","","0","0","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000825","1","YUN TENG (-)","YUN TENG: Unknown/unspecified","PAN","1993-12-03 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000824","1","VOLGO BALT 38 (-)","VOLGO BALT 38: Unknown/unspecified","RUS","1993-12-02 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000823","1","NYHAMMER (-)","NYHAMMER: Unknown/unspecified","XNA","1993-11-29 00:00","Unspecified"," ","","0","0","","","Liquefied Gas Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000822","1","DASA TUJUH (-)","DASA TUJUH: Unknown/unspecified","IDN","1993-11-27 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000821","1","GOLD FAITH (-)","GOLD FAITH: Unknown/unspecified","SGP","1993-11-24 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000820","1","SUCCESS 1 (-)","SUCCESS 1: Unknown/unspecified","PAN","1993-11-20 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000819","1","COPACABANA REEFER (-)","COPACABANA REEFER: Unknown/unspecified","MLT","1993-11-17 00:00","Unspecified"," ","","0","0","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000818","1","BORODINSKOYE POLYE (-)","BORODINSKOYE POLYE: Unknown/unspecified","RUS","1993-11-17 00:00","Unspecified"," ","","0","0","","","Fish Factory Ship / Fish Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000817","2","FOOK LUNG (-), WAN HAI 203 (-)","FOOK LUNG: Unknown/unspecified, WAN HAI 203: Unknown/unspecified","HND","1993-11-15 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000816","1","TROPIC WIND (-)","TROPIC WIND: Unknown/unspecified","PAN","1993-11-10 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000815","1","LUNOHODS-1 (-)","LUNOHODS-1: Unknown/unspecified","LVA","1993-11-09 01:40","Unspecified","600600N 0010700W","Shetlands Islands, southern approaches to Lerwiick Harbour, 250 m SE of Bressay Light","1","1","Foundering",".","Fish Factory Ship / Fish Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2011-01-20","2005-05-23"
"C0000813","1","AMAL (-)","AMAL: Unknown/unspecified","HND","1993-11-03 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000812","2","AYA (-), WLADYSLAW (-)","AYA: Unknown/unspecified, WLADYSLAW: Unknown/unspecified","PAN","1993-10-30 00:00","Unspecified"," ","","0","0","","","Other Ships Structures","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007282","1","PACIFIC COMMANDER (IMO 7808487)","PACIFIC COMMANDER: Unknown/unspecified","PAN","1993-10-29 13:24","Serious"," ","Timor Sea","1","0","Injury aboard","In the earlier hours of 29 October 1993, the offshore supply ship Pacific Commander manœuvred stern-to the semi-submersible drilling rig Atwood Falcon to back-load some sections of casing. The master  was advised the cargo operation would of short duration and, as a result, he chose not to use an anchor, making fast with two lines aft and maintaining position at right angles to the rig, with the bow thruster. 
After the planned cargo operation was completed and some further equipment transferred, Atwood Falcon then decided to take the opportunity to top up with cement from Pacific Commander, thereby extending the cargo operation significantly. Weather conditions were good and the Master continued to maintain position by use of the bow thruster. In the early afternoon, the Mate was unable to maintain the position and the Master decided to suspend operations and let go. During the operation of letting go, a nylon mooring line, jammed on the bitts, parted under strain, injuring the Mate. 
","Tug","Serious injuries","498","DNV AS (DNV)","","","9","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-05-11",""
"C0000811","1","SAMSUN FINDER (-)","SAMSUN FINDER: Unknown/unspecified","KOR","1993-10-28 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000810","1","OMI CHARGER (-)","OMI CHARGER: Unknown/unspecified","USA","1993-10-19 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000814","1","RONJAY TIHI (IMO 7027045)","RONJAY TIHI: Unknown/unspecified","VCT","1993-10-16 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000809","1","ILIAD (-)","ILIAD: Unknown/unspecified","GRC","1993-10-09 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000808","1","EASTERN GLORY (-)","EASTERN GLORY: Unknown/unspecified","BHS","1993-10-04 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
